ListingID,ListingName,Street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,CountryCode,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,square_feet,requires_license,instant_bookable,listing_url,thumbnail_url,medium_url,picture_url,xl_picture_url,jurisdiction_names,bed_type,room_type,property_type
241032,Stylish Queen Anne Apartment,Gilman Dr W,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.63628904,-122.3710252,t,4,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/241032,,,https://a1.muscache.com/ac/pictures/67560560/cfe47d69_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,WASHINGTON,BT_005,RT_001,PRT_001
953595,Bright & Airy Queen Anne Apartment,7th Avenue West,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.63912312,-122.3656665,t,4,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/953595,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a0.muscache.com/im/pictures/14409893/f8e3ed8d_original.jpg?aki_policy=medium,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_001,PRT_001
3308979,New Modern House-Amazing water view,West Lee Street,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.62972413,-122.3694832,t,11,4.5,5,7,N/A,f,f,https://www.airbnb.com/rooms/3308979,,,https://a2.muscache.com/ac/pictures/b4324e0f-a41b-4614-85a5-0e58c1983b99.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,WASHINGTON,BT_005,RT_001,PRT_010
7421966,Queen Anne Chateau,8th Avenue West,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.6384732,-122.3692791,t,3,1,0,2,N/A,f,f,https://www.airbnb.com/rooms/7421966,,,https://a0.muscache.com/ac/pictures/94146944/6302c803_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,WASHINGTON,BT_005,RT_001,PRT_001
278830,Charming craftsman 3 bdm house,14th Ave W,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.6329184,-122.3724706,t,6,2,3,3,N/A,f,f,https://www.airbnb.com/rooms/278830,,,https://a1.muscache.com/ac/pictures/6120468/b0a55f2e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,WASHINGTON,BT_005,RT_001,PRT_010
5956968,Private unit in a 1920s mansion,West Comstock Street,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.63052548,-122.3661741,t,2,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/5956968,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a2.muscache.com/im/pictures/84791950/f83d59ea_original.jpg?aki_policy=medium,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_002,PRT_010
1909058,Queen Anne Private Bed and Bath,10th Avenue West,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.63660545,-122.3685191,t,2,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/1909058,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a2.muscache.com/im/pictures/26505642/2c3a36d7_original.jpg?aki_policy=medium,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_002,PRT_010
856550,Tiny Garden cabin on Queen Anne  ,West Wheeler Street,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.64016054,-122.375856,t,2,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/856550,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a2.muscache.com/im/pictures/83538305/d78f8dbd_original.jpg?aki_policy=medium,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_002,PRT_005
4948745,Urban Charm || Downtown || Views,Queen Anne Avenue North,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98109,US,47.6324103,-122.3572161,t,2,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/4948745,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a0.muscache.com/im/pictures/85453284/d627f681_original.jpg?aki_policy=medium,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_002,PRT_001
2493658,Airy + Bright Queen Anne Apartment,7th Avenue West,Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,US,47.63749172,-122.3668886,t,4,1,1,1,N/A,f,f,https://www.airbnb.com/rooms/2493658,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,https://a2.muscache.com/im/pictures/33003258/f5cb2139_original.jpg?aki_policy=medium,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=x_large_cover&output-format=jpg&output-quality=70,WASHINGTON,BT_005,RT_001,PRT_001
